timestamp,step,expected,detected,event,status
2026-09-11 20:44:55,1,bottle,laptop,INTERACTION,DEVIATION
2026-09-11 20:45:01,1,bottle,mouse,INTERACTION,DEVIATION
2026-09-11 20:45:02,1,bottle,laptop,INTERACTION,DEVIATION
2026-09-11 20:45:02,1,bottle,laptop,INTERACTION,DEVIATION
2026-09-11 20:45:03,1,bottle,laptop,INTERACTION,DEVIATION
2026-09-11 20:45:03,1,bottle,laptop,INTERACTION,DEVIATION
2026-09-11 20:45:04,1,bottle,laptop,INTERACTION,DEVIATION
2026-09-11 20:45:09,1,bottle,mouse,INTERACTION,DEVIATION
2026-09-11 20:45:11,1,bottle,mouse,INTERACTION,DEVIATION
2026-09-11 20:45:21,1,bottle,bottle,INTERACTION,PASS
2026-09-11 20:45:23,2,book,bottle,INTERACTION,DEVIATION
2026-09-11 20:45:24,2,book,bottle,INTERACTION,DEVIATION
2026-09-11 20:45:26,2,book,tv,INTERACTION,DEVIATION
2026-09-11 20:45:27,2,book,tv,INTERACTION,DEVIATION
2026-09-11 20:45:28,2,book,tv,INTERACTION,DEVIATION
2026-09-11 20:46:14,1,bottle,tv,INTERACTION,DEVIATION
2026-09-11 20:46:15,1,bottle,tv,INTERACTION,DEVIATION
2026-09-11 20:46:15,1,bottle,tv,INTERACTION,DEVIATION
2026-09-11 20:46:16,1,bottle,tv,INTERACTION,DEVIATION
2026-09-11 20:46:17,1,bottle,mouse,INTERACTION,DEVIATION
2026-09-11 20:46:18,1,bottle,mouse,INTERACTION,DEVIATION
2026-09-11 20:46:18,1,bottle,mouse,INTERACTION,DEVIATION
2026-09-11 20:46:19,1,bottle,mouse,INTERACTION,DEVIATION
2026-09-11 20:46:19,1,bottle,mouse,INTERACTION,DEVIATION
2026-09-11 20:46:20,1,bottle,mouse,INTERACTION,DEVIATION
2026-09-11 20:46:21,1,bottle,mouse,INTERACTION,DEVIATION
2026-09-11 20:46:31,1,bottle,tv,INTERACTION,DEVIATION
2026-09-11 20:46:32,1,bottle,tv,INTERACTION,DEVIATION
2026-09-11 20:46:33,1,bottle,mouse,INTERACTION,DEVIATION
2026-09-11 20:46:34,1,bottle,mouse,INTERACTION,DEVIATION
2026-09-11 20:46:35,1,bottle,mouse,INTERACTION,DEVIATION
2026-09-11 20:46:35,1,bottle,mouse,INTERACTION,DEVIATION
2026-09-11 20:46:36,1,bottle,mouse,INTERACTION,DEVIATION
2026-09-11 20:46:36,1,bottle,mouse,INTERACTION,DEVIATION
2026-09-11 20:46:37,1,bottle,mouse,INTERACTION,DEVIATION
2026-09-11 20:46:40,1,bottle,laptop,INTERACTION,DEVIATION
2026-09-11 20:46:40,1,bottle,laptop,INTERACTION,DEVIATION
2026-09-11 20:46:41,1,bottle,laptop,INTERACTION,DEVIATION
2026-09-11 20:46:41,1,bottle,laptop,INTERACTION,DEVIATION
2026-09-11 20:46:42,1,bottle,laptop,INTERACTION,DEVIATION
2026-09-11 20:46:43,1,bottle,laptop,INTERACTION,DEVIATION
2026-09-11 20:46:43,1,bottle,laptop,INTERACTION,DEVIATION
2026-09-11 20:46:46,1,bottle,laptop,INTERACTION,DEVIATION
2026-09-11 20:46:46,1,bottle,laptop,INTERACTION,DEVIATION
2026-09-11 20:46:47,1,bottle,laptop,INTERACTION,DEVIATION
2026-09-11 20:46:47,1,bottle,laptop,INTERACTION,DEVIATION
2026-09-11 20:46:51,1,bottle,laptop,INTERACTION,DEVIATION
